"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1957-12",97.21209,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-01",97.26337,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-02",97.40351,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-03",97.59336,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-04",97.8005,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-05",98.03487,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-06",98.32786,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-07",98.71365,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-08",99.15187,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-09",99.60413,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-10",100.0139,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-11",100.3196,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-12",100.4485,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-01",100.3847,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-02",100.2163,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-03",100.0363,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-04",99.89995,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-05",99.79615,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-06",99.83738,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-07",100.1015,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-08",100.6862,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-09",101.6509,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-10",102.7833,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-11",103.7837,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-12",104.4081,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-01",104.4842,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-02",104.1034,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-03",103.4973,
